# Lists all samples, read by the scripts in this directory
sam_id	run_id	sam_id_on_run	bio_id	sam_valid	prj_id	bio_ext_id	sty_id	tem_id	prj_parent	prj_year	prj_name	prj_desc
QDK21_DZ043-1	QDK21	DZ43_S71	RAN1_DZ043	1	RAN1	DZ043	MIT	frogs	RANO	2021	Phrynobatrachus mitochondrion sequencing	(none)
QDK21_DZ043-2	QDK21	DZ43_S80	RAN1_DZ043	1	RAN1	DZ043	MIT	frogs	RANO	2021	Phrynobatrachus mitochondrion sequencing	(none)
QDK21_DZ046-1	QDK21	DZ46_S72	RAN1_DZ046	1	RAN1	DZ046	MIT	frogs	RANO	2021	Phrynobatrachus mitochondrion sequencing	(none)
QDK21_DZ046-2	QDK21	DZ46_S81	RAN1_DZ046	1	RAN1	DZ046	MIT	frogs	RANO	2021	Phrynobatrachus mitochondrion sequencing	(none)
QDK21_DZ028-1	QDK21	DZ28_S69	RAN2_DZ028	1	RAN2	DZ028	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ028-2	QDK21	DZ28_S78	RAN2_DZ028	1	RAN2	DZ028	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ029-1	QDK21	DZ29_S70	RAN2_DZ029	1	RAN2	DZ029	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ029-2	QDK21	DZ29_S79	RAN2_DZ029	1	RAN2	DZ029	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ052-1	QDK21	DZ52_S73	RAN2_DZ052	1	RAN2	DZ052	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ052-2	QDK21	DZ52_S82	RAN2_DZ052	1	RAN2	DZ052	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ085-1	QDK21	DZ85_S74	RAN2_DZ085	1	RAN2	DZ085	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ085-2	QDK21	DZ85_S83	RAN2_DZ085	1	RAN2	DZ085	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ097-1	QDK21	DZ97_S75	RAN2_DZ097	1	RAN2	DZ097	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ097-2	QDK21	DZ97_S84	RAN2_DZ097	1	RAN2	DZ097	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ111-1	QDK21	DZ111_S76	RAN2_DZ111	1	RAN2	DZ111	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ111-2	QDK21	DZ111_S85	RAN2_DZ111	1	RAN2	DZ111	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ120-1	QDK21	DZ120_S77	RAN2_DZ120	1	RAN2	DZ120	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
QDK21_DZ120-2	QDK21	DZ120_S86	RAN2_DZ120	1	RAN2	DZ120	MIT	frogs	RANO	2021	Strongylopus mitochondrion sequencing	(none)
